trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
158,False,"{'a': 0.029597509820488345, 'e': 0.20597509820488344}",25,0,23.835099696264034,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
159,False,"{'a': 0.029392561173421344, 'e': 0.20392561173421342}",20,7,17.533634560474358,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
160,False,"{'a': 0.02918965179946554, 'e': 0.20189651799465538}",20,7,3.750714355921509,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
161,False,"{'a': 0.028988761407514448, 'e': 0.1998876140751445}",25,17,12.759605265825146,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
162,False,"{'a': 0.028789869908361465, 'e': 0.19789869908361465}",20,6,-2.020428741014822,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
163,False,"{'a': 0.028592957412690932, 'e': 0.19592957412690934}",20,3,2.481486615927418,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
164,False,"{'a': 0.02839800422908919, 'e': 0.19398004229089189}",25,16,3.1188348870683322,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
165,False,"{'a': 0.02820499086207541, 'e': 0.19204990862075408}",20,0,18.941678465627145,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
166,False,"{'a': 0.028013898010152048, 'e': 0.1901389801015205}",20,6,17.96730503957864,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
167,False,"{'a': 0.02782470656387468, 'e': 0.1882470656387468}",25,18,12.605682719276047,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
168,False,"{'a': 0.027637397603940995, 'e': 0.18637397603940997}",20,0,-48.815580307651594,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
169,False,"{'a': 0.02745195239929893, 'e': 0.18451952399298926}",30,20,17.49591270948355,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
170,False,"{'a': 0.027268352405273463, 'e': 0.18268352405273466}",20,0,-24.563092106934317,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
171,False,"{'a': 0.027086579261712207, 'e': 0.1808657926171221}",25,11,14.4079895414569,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
